"agency","x_employees","x_female","x_male","x_white","x_black","x_hispanic","x_asian","x_sor","check_gender","check_eth_race","d1","d2","d4","d3","d5","d3_norm","d4_norm","d3_gender","d3_race","d4_gender","d4_race","d3_gender_norm","d3_race_norm","d3_norm_high","d3_gender_norm_high","d3_race_norm_high","d3_gender_race_norm_high"
"OATH",670,61,39,49,28,12,8,4,100,101,68.2338024705876,2.37420957037141,0.5,28.780016605708,0.646929711116098,36.1806349035815,66.6666666666667,16.7874547700248,23.3767131600916,0.119935848457789,0.526993862658308,28.0190859385073,35.9334734941439,FALSE,FALSE,FALSE,FALSE
"DA-NARC",214,50,50,50,18,16,9,7,100,100,39.5559534818252,2.26911573879766,-0.5,20.3854744960872,0.53075239776291,19.7138400334451,33.3333333333333,1.23110558392075,20.3482664979565,0.00870589080899861,0.522046506953911,0,29.2133695490251,FALSE,FALSE,FALSE,FALSE
"CCRB",219,53,47,40,20,21,11,9,100,101,28.5559534818252,2.21376126423384,-0.5,11.8152771994186,0.420671885002488,2.90247867055428,33.3333333333333,5.47374627104004,10.4708584681188,0.0387227905822676,0.38194909442022,7.64156889232018,7.29546374642956,FALSE,FALSE,FALSE,FALSE
"DA-SI",213,59,41,67,10,15,3,5,100,100,87.5559534818252,3.42916704706565,-0.5,40.584764490662,0.975131954387611,59.3369142308879,33.3333333333333,13.9590276452786,38.1086427987255,0.0993618978987054,0.875770056488906,22.9247066769605,68.6235319725065,FALSE,FALSE,FALSE,FALSE
"CCHR",128,57,41,27,24,23,18,9,98,101,41.4683229902199,2.5386952878816,0.5,16.8122889883908,0.490823934184127,12.7046533476406,66.6666666666667,12.6242766277781,11.1031842574328,0.0907995669494473,0.400024367234679,20.5206398217845,8.69859066442959,FALSE,FALSE,FALSE,FALSE
"BOC",24,58,42,33,38,17,12,0,100,100,53.4188952022564,2.83576240382523,-1.5,24.4744062457443,0.917543847099435,27.7347182993871,0,12.5448140829055,21.014856666346,0.0891584183218061,0.828385428777629,20.3775170461871,30.6925289069823,FALSE,FALSE,FALSE,FALSE
"COIB",24,54,46,50,4,17,21,8,100,100,62.0725568069446,3.38942360025754,0.5,26.6594966021109,0.858932586006763,32.0210074383461,66.6666666666667,6.88795983341313,25.7543155298534,0.0487529779088462,0.810179608097916,10.1887585230936,41.2093580803682,FALSE,FALSE,FALSE,FALSE
"NYCCSC",15,67,33,40,40,13,7,0,100,100,86.7009780077435,3.90699687993149,-0.5,36.52560871832,1.23936754036338,51.3744447386589,33.3333333333333,25.2727361442634,26.3706067436124,0.183478611068985,1.0558889292944,43.3022237231477,42.5769043768592,FALSE,FALSE,FALSE,FALSE
"EEPC",13,69,31,15,46,8,15,15,100,99,115.46832299022,6.37897909755514,0.5,48.1691944332461,1.17333725863681,74.2145871808296,66.6666666666667,28.1011632690096,39.1228311255248,0.205458188321147,0.967879070315661,48.3966029846945,70.8740094404547,TRUE,FALSE,TRUE,TRUE
"NYPD",54685,35,65,36,25,27,10,2,100,100,41.2188855807556,1.63927295900133,-0.5,21.2339702664592,0.457227172970054,21.3782555091721,33.3333333333333,19.9820978516757,7.18312318723082,0.14494556362794,0.312281609342114,33.7730695998918,0,FALSE,FALSE,FALSE,FALSE
"FDNY",17564,12,88,62,13,19,4,1,100,99,130.541036591993,4.40254117427422,-1.5,61.314237863467,1.35109518681829,100,0,52.5090097862569,31.6581688675228,0.437379153571817,0.913716033246476,92.3584311076798,54.3099712105016,TRUE,TRUE,FALSE,TRUE
"DOC",10372,44,56,12,59,22,5,2,100,100,87.9368027752685,4.09289324331566,-1.5,46.732868355061,0.986974738881492,71.3970794969985,0,7.25417579031782,46.1664154802453,0.051538049594134,0.935436689287358,10.8483629229312,86.5036784723551,TRUE,FALSE,TRUE,TRUE
"DOP",1084,69,31,11,63,20,3,2,100,99,126.418895202256,5.11995130156007,-1.5,57.9691997618556,1.27710972409569,93.438348925679,0,28.1011632690096,50.7025910970868,0.205458188321147,1.07165153577454,48.3966029846945,96.5694234100578,TRUE,FALSE,TRUE,TRUE
"DOI",341,55,45,43,26,16,10,5,100,100,43.2338024705876,1.84435563152464,0.5,17.9687840222059,0.474174813940181,14.9732424191444,66.6666666666667,8.30217339578622,15.9358437537201,0.0588055096297518,0.415369304310429,12.735948153867,19.4222314511296,FALSE,FALSE,FALSE,FALSE
"NYCEM",206,50,49,53,18,11,10,8,99,100,48.5559534818252,2.76124415436408,-0.5,25.5587771765318,0.636952359050005,29.8618282057097,33.3333333333333,2.06316920591958,25.4753689588071,0.0137555795091358,0.62319677954087,1.49865896247149,40.5903774075355,FALSE,FALSE,FALSE,FALSE
