"agency","x_employees","x_female","x_male","x_white","x_black","x_hispanic","x_asian","x_sor","check_gender","check_eth_race","d1","d2","d4","d3","d5","d3_norm","d4_norm","d3_gender","d3_race","d4_gender","d4_race","d3_gender_norm","d3_race_norm","d3_norm_high","d3_gender_norm_high","d3_race_norm_high","d3_gender_race_norm_high"
"DCAS",2468,39,61,28,34,24,11,3,100,100,46.6712999526141,1.65402703540084,-0.5,20.9398293510477,0.391864478424864,17.8246195233826,33.3333333333333,14.1494175251208,15.4360110440102,0.101512009560587,0.290352468864277,25,18.1265252898021,FALSE,FALSE,FALSE,FALSE
"DOITT",1576,38,62,35,27,15,19,4,100,100,46.543868671322,1.93797923806874,1.5,21.2618750651401,0.480028003696586,18.431457069619,100,15.5636310874939,14.4858799752731,0.111941809054746,0.36808619464184,27.5,15.9836251145351,FALSE,FALSE,FALSE,FALSE
"MAYORALTY",1271,59,41,44,20,15,17,4,100,100,46.2743183229072,1.76864677635506,0.5,21.1623837829338,0.444862511950609,18.2439835435821,66.6666666666667,14.1348537223411,15.7496792863918,0.100593134247008,0.344269377703601,24.9742545907366,18.8339642460597,FALSE,FALSE,FALSE,FALSE
"BOE",833,47,53,31,32,16,4,17,100,100,54.6712999526141,6.93806938036486,-0.5,24.1570020633583,0.925308837725952,23.8868060674886,33.3333333333333,2.83570902613601,23.989987557483,0.0200835418092286,0.905225295916723,5,37.4189349089469,FALSE,FALSE,FALSE,FALSE
"NYCERS",444,61,39,32,35,10,21,2,100,100,65.2294523441317,2.59588316864502,-0.5,28.8923048786961,0.672725020555356,32.8096372538786,33.3333333333333,16.9632808470873,23.3882958786305,0.12116137095186,0.551563649603496,29.9742545907366,36.0618956051132,FALSE,FALSE,FALSE,FALSE
"TRS",349,58,42,37,28,11,20,3,100,99,49.5232723439113,1.82103970953916,1.5,22.657911068136,0.490287431708369,21.0620372184763,100,12.720640159968,18.7500999435248,0.0903920822348031,0.399895349473566,22.4742545907366,25.6010326680949,FALSE,FALSE,FALSE,FALSE
"OPA",152,61,39,26,34,21,18,1,100,100,57.2294523441317,2.46925646635262,-0.5,24.2481335566077,0.666523090143017,24.0585270664908,33.3333333333333,16.9632808470873,17.3268313283741,0.12116137095186,0.545361719191157,29.9742545907366,22.3910307376113,FALSE,FALSE,FALSE,FALSE
"NYCPPF",144,53,47,38,22,17,20,3,100,100,28.5232723439113,1.14243053537479,1.5,13.441374210577,0.290165628394328,3.69512200520398,100,5.64957234810256,12.1964286966439,0.039964577430756,0.250201050963572,9.97425459073663,10.8200579945152,FALSE,FALSE,FALSE,FALSE
"DORIS",73,56,44,41,22,18,15,4,100,100,32.5232723439113,1.32580586603132,1.5,15.1055805319848,0.325368531625947,6.83102115343752,100,9.89221303522184,11.4158961310125,0.070124180894778,0.255244350731169,17.4742545907366,9.05966574261636,FALSE,FALSE,FALSE,FALSE
"CLERK",75,68,32,21,17,43,17,1,100,99,75.446927815511,2.72922884830955,-0.5,34.3140988445911,0.756771851913214,43.0260382258232,33.3333333333333,26.862775783699,21.3506125605586,0.195604916210014,0.5611669357032,47.4742545907366,31.4661592029354,FALSE,FALSE,FALSE,FALSE
